division,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi Mauka,0.15348137045749843,0.27805115370550454,0.3342954142900337,0.25961166948934394,0.47782044707939725,0.4230082632260648,0.5607911991713791,0.7445776249877423,0.5860834433121956,0.5900440868826202,0.5580350029009904,-0.050994036115287814
Hilo,-0.6210387730310419,-0.35447631887811887,-0.24175260490443573,-0.42000870778274685,-0.3845375357923387,-0.5417496525107757,-0.34240154261185424,-0.6221313958253233,-0.8855802406054597,-0.8420391926108424,-0.8771090445848595,-1.6386056734018657
Kaʻu,0.5493751752664049,0.6614560147048514,0.7133436886567582,0.6734668023520751,0.6411231947560292,0.585209268087493,0.7059316723920359,0.699308519261778,0.42614076521312394,0.44492031403358107,0.41531872195737524,-0.2305773330149327
Kona,0.4178298003998129,0.5277983161779446,0.5475940228528154,0.4752932471712402,0.7782799414201711,0.6594980447868407,0.7310370773565574,0.9267962694338026,0.6868548022791563,0.8249642228706343,0.784544506331299,0.2664829071980243
Koʻolau,0.07682608966548515,0.43568156879984493,0.004579408009283617,-0.4665234634608994,-0.23592289699407398,-0.4144060492357111,-0.056968846488009525,-0.08903315336660944,-0.9732845037660611,-0.9832614504873726,-0.8900798211120957,-1.113398679801728
Leeward Kauaʻi,0.7156777080209895,0.4832504646114443,0.03380312407272926,-0.1802892011025737,-0.6036093281484258,-0.44480957763305845,-0.3583017085207396,-1.3647046593890555,-1.4658768272113942,-1.456434380466017,-1.3973372688655672,-1.318770107133933
Leeward Kohala,0.12903226939673887,0.23342743783026942,0.1688924722992334,-0.0014249410399300388,0.26785162936792944,0.15915811290175028,0.2587868820240399,0.413275590453508,0.1842426596457279,0.27018350304220007,0.21779352210634365,-0.1805934393064032
Leeward Maui Nui,-0.050001104135388864,0.01877854823500519,-0.157926099240992,-0.295084056198102,-0.8138429761639976,-0.9003279535513049,-0.7623861256301898,-0.6638039368327402,-0.7827453106465005,-0.7728318690688019,-0.7732838912366548,-0.9356590117141163
Waianae,0.3761574074074074,0.4876735858181171,0.3155663961328024,0.03939572729245581,-0.059019118879348374,-0.1426867267931721,0.06473513397951874,-0.05336087851041464,-0.9377485036664724,-0.8845300207604895,-0.8499038486831456,-1.068880031282375
Windward Kauaʻi,0.013322765740183621,0.06422647229912819,-0.3789241981326579,-0.8815382483253669,-0.879517998624108,-1.138310019607513,-0.8295191031245792,-1.4662906456173421,-1.6206240743234146,-1.483139142865558,-1.3208510754678875,-1.225343604837081
Windward Kohala,-0.736767122005988,-0.5870541729041916,-0.6945378929640719,-0.9608481474550898,-0.8389240269461078,-1.0918287799401198,-0.7907408308383234,-0.8344023203592814,-1.0412817178143712,-1.0302706773952095,-1.0806177956586827,-1.797845995508982
Windward Maui Nui,-0.9108498941058493,-0.6010563572973417,-0.7337782345424475,-1.062195507543555,-0.9556093497425612,-1.1563436630021553,-0.9693203386928995,-1.0375513801787104,-1.1821091738759504,-1.214810891943064,-1.1679727257079566,-1.6803043193962162
