division,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08
Hawaiʻi Mauka,1.0493573769939202,0.972041704801752,1.0305248800787763,0.724478881504756,0.969478056663289,-0.06763182109418413,-0.05661525170816241,0.2522952873717027,-0.005129758192488887,0.322256304036054,-0.09385257848507012,0.011334906639692903
Hilo,0.7178423069237307,0.6319395084181557,0.46063692498279946,0.13182763759814436,0.1343139324840136,-0.9235274709361151,-1.0191480316743227,-1.476609769917235,-1.9840837920148937,-1.4508807065382359,-1.8564347795293117,-1.512192476779246
Kaʻu,1.5279692319826135,1.3522889792484576,1.1795083996424565,0.9047865255187886,0.9516252672812675,-0.10995070906214947,-0.2071823898888811,-0.1534554045586792,-0.44726003838334266,-0.0998338529251963,-0.45804823331463823,-0.26295459723780146
Kona,0.9475621436208126,0.9138430692600678,0.8649634363306308,0.6334282459740289,1.2264198091143976,0.32988127248251514,0.22349603806575197,0.5623337303156183,0.2838726845793612,0.7860940945462848,0.12841321601242314,0.19628414662497773
Koʻolau,1.1142777158562251,0.6317215364698715,-1.0756699642778025,-1.4625685367744794,-0.7537140528079309,-1.04482391587284,-0.8818450238147985,-0.5332344944201374,-0.2206425712020935,0.08412661909476074,-0.6134337270159503,-0.6771123951179663
Leeward Kauaʻi,1.6026117800474762,-0.7506053613818091,-1.7544594890054972,-2.1989083583208395,-1.688524878185907,-1.31207765257996,-1.4294610507246377,-1.0405508183408296,-0.6970353690342329,-0.19206722322432535,-0.3061548571417416,-0.5277902064592703
Leeward Kohala,0.7593181913329861,0.8074621314317257,0.5473574666474397,0.13342532276858812,0.561727239319738,-0.2564341969181056,-0.18802583389153518,0.04948574443581299,-0.01138975251888583,0.3823903113991019,-0.16583263461192568,0.0005553944829887988
Leeward Maui Nui,-0.09861367656667037,-0.27359562666814946,-0.7683948231761566,-1.262096168816726,-0.2315536553325178,-0.6178400476349347,-0.7746585506561388,-0.5302020777728351,-0.44116387599162216,-0.0653700859096975,-1.1945573148354092,-1.0289068292185646
Waianae,1.7396050853082103,0.870963744010619,-1.1369800266284642,-1.4910513387075888,-0.5582788522241647,-0.9236637205387206,-0.9144052833017676,-0.5473517729377104,-0.3201759494484104,0.09441506347023926,-0.782913646683178,-0.7759451738943927
Windward Kauaʻi,0.7659495785015821,-0.8646737095226875,-1.618389301703245,-1.9435823789046722,-1.6488247326056955,-1.852005352093712,-1.640934260131951,-1.1603120634593376,-0.7079926256185203,-0.12072319995350579,-0.18743126456888717,-0.0761951155307493
Windward Kohala,0.33140709206586827,0.4307356848802395,0.177683219498503,-0.2818755379865269,-0.19920319517215568,-1.7852915419161677,-1.6127118263473055,-1.622180389221557,-1.7412204341317365,-1.3614006362275448,-1.6671770209580838,-1.2720247005988023
Windward Maui Nui,-0.08818119517030998,-0.07114753022005778,-0.40152481262722267,-0.9215374156214452,-0.18294809210452465,-1.08784022705502,-1.2913872367613601,-1.3052222327201701,-1.2093527126489254,-0.8455756100139197,-1.8372860835254146,-1.6088803751571574
